SampleID,percent_assigned,I,II,IV,V,VI,bMBI
P1-43,0.019762845849802372,0,0,60,40,0,4.9906594
P1-44,0.015873015873015872,0,0,40,40,20,5.91316948
P1-46,0.003968253968253968,0,100,0,0,0,3.0708954999999998
P1-47,0.020833333333333332,0,14.285714285714285,28.57142857142857,42.857142857142854,14.285714285714285,5.611745285714285
P1-48,0.027491408934707903,12.5,25,37.5,25,0,4.097682975
P1-49,0.021505376344086023,25,0,50,25,0,4.0266872750000005
P1-5,0.0036101083032490976,0,0,100,0,0,3.8874496
P1-50,0.020100502512562814,12.5,0,37.5,50,0,4.991327625
P1-51,0.014705882352941176,0,0,100,0,0,3.8874496
P1-52,0.02247191011235955,0,0,100,0,0,3.8874496
P1-53,0.018018018018018018,0,0,50,50,0,5.26646185
P1-54,0.02072538860103627,0,0,50,50,0,5.26646185
P1-55,0.011538461538461539,0,0,66.66666666666666,33.33333333333333,0,4.806791099999999
P1-56,0.01107011070110701,0,0,66.66666666666666,33.33333333333333,0,4.806791099999999
P1-57,0.021834061135371178,0,0,40,60,0,5.542264299999999
P1-58,0.018867924528301886,50,0,50,0,0,2.7869127000000002
P1-6,0,NA,NA,NA,NA,NA,NA
P1-60,0,NA,NA,NA,NA,NA,NA
P1-61,0.01744186046511628,33.33333333333333,33.33333333333333,0,0,33.33333333333333,4.4190904333333325
P1-62,0.004975124378109453,100,0,0,0,0,1.6863758
P1-63,0.004524886877828055,100,0,0,0,0,1.6863758
P1-64,0.012552301255230125,66.66666666666666,33.33333333333333,0,0,0,2.1478823666666664
P1-65,0.022026431718061675,80,20,0,0,0,1.96327974
P1-66,0,NA,NA,NA,NA,NA,NA
P1-67,0.0035087719298245615,100,0,0,0,0,1.6863758
P1-68,0.018808777429467086,83.33333333333334,16.666666666666664,0,0,0,1.9171290833333332
P1-69,0.017482517482517484,80,20,0,0,0,1.96327974
P1-7,0.007352941176470588,0,50,50,0,0,3.47917255
P1-70,0.006329113924050633,0,100,0,0,0,3.0708954999999998
P1-71,0.007936507936507936,100,0,0,0,0,1.6863758
P1-72,0.015384615384615385,50,50,0,0,0,2.3786356499999997
P1-73,0.02356902356902357,42.857142857142854,42.857142857142854,0,14.285714285714285,0,2.988184
P1-74,0.02849740932642487,72.72727272727273,18.181818181818183,0,9.090909090909092,0,2.388933772727273
P1-75,0.02577319587628866,60,10,0,30,0,3.3125572599999997
P1-76,0.01680672268907563,75,25,0,0,0,2.032505725
P1-77,0.0056179775280898875,100,0,0,0,0,1.6863758
P1-78,0.0196078431372549,40,60,0,0,0,2.51708762
P1-79,0.024390243902439025,66.66666666666666,33.33333333333333,0,0,0,2.1478823666666664
P1-8,0.0072992700729927005,0,0,0,100,0,6.6454740999999995
P1-80,0.01694915254237288,0,25,50,25,0,4.3728172
P1-81,0.016129032258064516,0,0,33.33333333333333,66.66666666666666,0,5.726132599999999
P1-82,0.025089605734767026,42.857142857142854,14.285714285714285,42.857142857142854,0,0,2.827481671428571
P1-83,0.020833333333333332,25,25,25,25,0,3.8225487499999997
P1-84,0.06267806267806268,68.18181818181817,27.27272727272727,0,0,4.545454545454546,2.3736822727272724
P1-85,0.059375,52.63157894736842,47.368421052631575,0,0,0,2.342200921052631
P1-86,0.08846153846153847,65.21739130434783,30.434782608695656,4.3478260869565215,0,0,2.2034502217391303
P1-87,0.0759493670886076,58.333333333333336,41.66666666666667,0,0,0,2.2632590083333337
P1-88,0.0648854961832061,58.82352941176471,41.17647058823529,0,0,0,2.2564721470588234
P1-89,0.07581227436823104,57.14285714285714,42.857142857142854,0,0,0,2.2797413857142854
P1-9,0.011560693641618497,25,0,25,50,0,4.7161934
P1-90,0.06515580736543909,47.82608695652174,52.17391304347826,0,0,0,2.4087339043478257
P1-91,0.06699751861042183,55.55555555555556,44.44444444444444,0,0,0,2.3017178888888887
P1-92,0.08441558441558442,53.84615384615385,42.30769230769231,3.8461538461538463,0,0,2.356790819230769
P1-93,0.06569343065693431,77.77777777777779,22.22222222222222,0,0,0,1.9940468444444446
P1-94,0.07232704402515723,73.91304347826086,21.73913043478261,0,0,4.3478260869565215,2.2836028739130434
P2-1,0.08135593220338982,62.5,37.5,0,0,0,2.2055706875
P2-10,0.051440329218107,68,32,0,0,0,2.129422104
P2-11,0.10989010989010989,10,0,60,30,0,4.49474957
P2-12,0.12280701754385964,0,21.428571428571427,50,28.57142857142857,0,4.500480721428572
P2-14,0.11940298507462686,6.25,6.25,50,37.5,0,4.73310704375
P2-15,0.07553956834532374,61.904761904761905,38.095238095238095,0,0,0,2.2138118761904764
P2-16,0.08835341365461848,68.18181818181817,31.818181818181817,0,0,0,2.126904795454545
P2-17,0.08267716535433071,61.904761904761905,38.095238095238095,0,0,0,2.2138118761904764
P2-18,0.06086956521739131,0,0,57.14285714285714,35.714285714285715,7.142857142857142,5.201926235714285
P2-19,0.07239819004524888,0,0,43.75,43.75,12.5,5.67065411875
P2-2,0.064,43.75,18.75,12.5,18.75,6.25,3.5767899125
P2-20,0.06315789473684211,0,0,58.333333333333336,33.33333333333333,8.333333333333332,5.191170299999999
P2-21,0.045871559633027525,60,40,0,0,0,2.24018368
P2-22,0.05466237942122187,67.64705882352942,26.47058823529412,2.941176470588235,0,2.941176470588235,2.3180044852941175
P2-23,0.05128205128205128,60,30,0,0,10,2.7830941300000003
P2-24,0.0842911877394636,54.54545454545454,40.909090909090914,0,0,4.545454545454546,2.5624804136363637
P2-25,0.06451612903225806,61.111111111111114,33.33333333333333,0,0,5.555555555555555,2.5264170444444445
P2-26,0.06666666666666667,59.09090909090909,31.818181818181817,4.545454545454546,0,4.545454545454546,2.5366637954545452
P2-27,0.08040201005025126,18.75,6.25,43.75,31.25,0,4.285596287500001
P2-28,0.07784431137724551,7.6923076923076925,15.384615384615385,46.15384615384615,30.76923076923077,0,4.4411354461538455
P2-29,0.08333333333333333,30.76923076923077,7.6923076923076925,46.15384615384615,15.384615384615385,0,3.571695730769231
P2-3,0.057750759878419454,42.10526315789473,21.052631578947366,10.526315789473683,21.052631578947366,5.263157894736842,3.6121781052631574
P2-30,0.07100591715976332,58.333333333333336,33.33333333333333,0,4.166666666666666,4.166666666666666,2.638412470833333
P2-31,0.06510416666666667,56.00000000000001,32,4,4,4,2.6883739560000004
P2-32,0.058577405857740586,50,50,0,0,0,2.3786356499999997
P2-33,0.061068702290076333,0,0,50,50,0,5.26646185
P2-34,0.05982905982905983,0,0,42.857142857142854,57.14285714285714,0,5.463463599999999
P2-35,0.05150214592274678,25,8.333333333333332,33.33333333333333,33.33333333333333,0,4.188476474999999
P2-36,0.07665505226480836,50,50,0,0,0,2.3786356499999997
P2-38,0.06363636363636363,71.42857142857143,28.57142857142857,0,0,0,2.0819528571428574
P2-39,0.060240963855421686,55.00000000000001,45,0,0,0,2.309409665
P2-4,0.054313099041533544,52.94117647058824,17.647058823529413,5.88235294117647,17.647058823529413,5.88235294117647,3.3361141529411764
P2-40,0.056074766355140186,66.66666666666666,33.33333333333333,0,0,0,2.1478823666666664
P2-41,0.05405405405405406,58.333333333333336,33.33333333333333,0,8.333333333333332,0,2.5611405583333333
P2-42,0.08627450980392157,59.09090909090909,40.909090909090914,0,0,0,2.252770222727273
P2-43,0.0392156862745098,100,0,0,0,0,1.6863758
P2-44,0.05244755244755245,73.33333333333333,13.333333333333334,6.666666666666667,0,6.666666666666667,2.4719582933333335
P2-45,0.09243697478991597,72.72727272727273,18.181818181818183,9.090909090909092,0,0,2.1382042727272728
P2-46,0.0625,8.333333333333332,8.333333333333332,50,33.33333333333333,0,4.555322108333333
P2-47,0.061855670103092786,0,0,58.333333333333336,41.66666666666667,0,5.036626475
P2-48,0.07079646017699115,0,0,62.5,37.5,0,4.9217087875
P2-49,0.031413612565445025,33.33333333333333,0,33.33333333333333,16.666666666666664,16.666666666666664,4.3821874833333325
P2-5,0.07602339181286549,84.61538461538461,15.384615384615385,0,0,0,1.8993788307692308
P2-50,0.05630026809651475,42.857142857142854,14.285714285714285,19.047619047619047,14.285714285714285,9.523809523809524,3.6607756857142855
P2-51,0.037333333333333336,28.57142857142857,7.142857142857142,28.57142857142857,21.428571428571427,14.285714285714285,4.4501871
P2-52,0.07621951219512195,68,32,0,0,0,2.129422104
P2-53,0.1111111111111111,60,40,0,0,0,2.24018368
P2-54,0.07903780068728522,60.86956521739131,39.130434782608695,0,0,0,2.2281443782608696
P2-55,0.05473684210526316,69.23076923076923,23.076923076923077,7.6923076923076925,0,0,2.1751937153846153
P2-56,0.061855670103092786,75,25,0,0,0,2.032505725
P2-57,0.0625,60,30,10,0,0,2.32183909
P2-58,0.06217616580310881,58.333333333333336,25,8.333333333333332,8.333333333333332,0,2.6291867333333334
P2-59,0.05704697986577181,41.17647058823529,23.52941176470588,17.647058823529413,11.76470588235294,5.88235294117647,3.3847946823529416
P2-6,0.078125,45,50,0,5,0,2.626590565
P2-60,0.07720588235294118,66.66666666666666,23.809523809523807,9.523809523809524,0,0,2.2256494238095237
P2-62,0.06325301204819277,57.14285714285714,42.857142857142854,0,0,0,2.2797413857142854
P2-63,0.04975124378109453,60,30,10,0,0,2.32183909
P2-64,0.06280193236714976,69.23076923076923,30.76923076923077,0,0,0,2.1123818615384615
P2-65,0.11864406779661017,57.14285714285714,42.857142857142854,0,0,0,2.2797413857142854
P2-66,0.07730263157894737,63.829787234042556,34.04255319148936,2.127659574468085,0,0,2.2045330127659577
P2-67,0.0783132530120482,69.23076923076923,30.76923076923077,0,0,0,2.1123818615384615
P2-68,0.09375,60,40,0,0,0,2.24018368
P2-69,0.08260869565217391,78.94736842105263,21.052631578947366,0,0,0,1.9778536315789472
P2-7,0.07857142857142857,54.54545454545454,45.45454545454545,0,0,0,2.3157029363636363
